State,City,Year,SO2,NO2,PM2_5,AQI,Lat,Long
Kerala,TRIVENDRUM,1993,52.18333333,138.0833333,118.9751122,317,8.5241,76.9366
Uttar Pradesh,KANPUR,1993,76.86666667,85.8,231.1516465,616,26.466667,80.35
Madhya Pradesh,BHILAI,1993,22.2477127,29.8,49.85623749,133,21.209188,81.428497
Maharashtra,NAGPUR,1993,47.375,88.53333333,244.7488022,652,23.3,82.3
Madhya Pradesh,KORBA,1993,14.4875,7.575,56.08826718,149,22.35,82.683333
Kerala,KOZHIKODE,1993,1.708333333,19.85833333,81.58293408,217,11.25,75.766667
Odisha,ROURKELA,1993,98.83333333,110.1,149.5687125,399,22.2,84.883333
Madhya Pradesh,SATNA,1993,29.48888889,30.36666667,81.58293408,217,24.583333,80.833333
Uttar Pradesh,DEHRADOON,1993,59.14,53.6,81.58293408,217,30.3165,78.0322
West Bengal,HOWRAH,1993,355.825,562.775,163.1658682,435,22.589167,88.310278
Chhattisgarh,KORBA,1993,9.6,6.4,40.79146704,108,22.35,82.683333
Gujarat,BARODA,1993,78.7,61.74166667,122.3744011,326,22.3072,73.1812
Haryana,YAMUNANAGAR,1993,27.2,8.541666667,40.79146704,108,30.14,77.28
Puducherry,PONDICHERY,1993,53.84166667,94.34166667,122.3744011,326,11.9416,79.8083
Rajasthan,ALWAR,1993,99.38571429,243.2,139.8564584,373,27.566291,76.610202
Andhra Pradesh,HYDERABAD,1993,25.63333333,47.88333333,122.3744011,326,17.384052,78.456355
Maharashtra,AURANGABAD,1993,22.9,28.2,81.58293408,217,19.880943,75.346739
Maharashtra,AURANGABAD,1993,22.9,28.2,81.58293408,217,24.752037,84.374202
Odisha,TALCHER,1993,16.04313811,17.4198743,40.79146704,108,20.95,85.23
Gujarat,RAJKOT,1993,34.78333333,10.65,74.78435624,199,22.291606,70.793217
Uttar Pradesh,VARANASI,1993,24.15,26.55,40.79146704,108,25.31774,83.005811
Madhya Pradesh,BHOPAL,1993,21.5288243,26.92,93.82037418,250,23.254688,77.402892
Uttar Pradesh,GHAZIABAD,1993,21.65882864,51.6192458,81.58293408,217,28.665353,77.439148
Gujarat,VAPI,1993,21.65882864,51.6192458,81.58293408,217,20.37,72.9
West Bengal,CALCUTTA,1993,85.29,84.89,97.89952088,261,22.57,88.36
Tamil Nadu,MADRAS,1993,27.25,49.24166667,122.3744011,326,13.09,80.27
Kerala,KOTTAYAM,1993,3.3,25.63333333,40.79146704,108,9.6,76.52
Gujarat,BHARUCH,1993,4.766666667,46.86666667,54.38862272,145,21.71,72.97
Bihar,JHARIA,1993,36.66666667,52.86666667,40.79146704,108,23.76,86.42
Madhya Pradesh,NAGDA,1993,120.9777778,82.36666667,117.8420159,314,23.46,75.42
Odisha,NALCO,1993,17.80980477,13.13654097,40.79146704,108,20.8653,85.1842
Kerala,COCHIN,1993,52.16666667,92.19166667,234.5509354,625,9.9312,76.2673
Bihar,SINDRI,1993,30.21818182,52.29090909,40.79146704,108,23.7483,86.7059
Uttar Pradesh,ANPARA,1993,21.65882864,51.6192458,81.58293408,217,24.2049,82.7832
Uttar Pradesh,GAJROULA,1993,218.7181818,145.0636364,81.58293408,217,28.8382,78.2422
Goa,PANJIM,1993,16.2,32.8,40.79146704,108,15.4909,73.8278
Kerala,KOTTTAYAM,1993,5.016666667,16.05833333,40.79146704,108,9.5916,76.5222
Madhya Pradesh,JABALPUR,1993,2.042857143,78.31428571,58.27352434,155,23.174495,79.935903
Uttar Pradesh,NOIDA,1993,18.41000434,43.87635893,69.34549397,185,28.5726442,77.3547609
Bihar,PATNA,1993,11.26666667,16.675,40.79146704,108,25.615379,85.101027
Rajasthan,JODHPUR,1993,46.6,50.6,40.79146704,108,26.26841,73.005943
Delhi,DELHI,1993,147.825,254.7416667,322.9324474,861,28.651952,77.231495
Assam,GUWAHATI,1993,22.175,129.9166667,149.5687125,399,26.176076,91.762932
Haryana,FARIDABAD,1993,39.25,13.26666667,40.79146704,108,28.411236,77.313162
Rajasthan,KOTA,1993,32.1,166.5,115.5758233,308,25.182544,75.839065
Chandigarh,CHANDIGARH,1993,26.62222222,66.36666667,81.58293408,217,30.736292,76.788398
Madhya Pradesh,INDORE,1993,24.80735358,40.725,107.077601,285,22.717736,75.85859
Rajasthan,JAIPUR,1993,23.325,65.94166667,122.3744011,326,26.913312,75.787872
